review;sentiment
"There isn't too much in the way of suspense or surprises when it comes to the story, but there are some shocking moments and funny lines in this epic finale. Again, like many of the best Marvel films, the holes and flaws are covered up with humor and fan service, making everything okay. That being said, I did prefer Infinity War to this film, which really misses the leads of the other Marvel franchises that were ""snapped"" out. Overall, however, there are only a few ways you can wrap up the main story of the MCU, and this was a solid direction.";positive
"Blade Runner 2049 is a continuation of 1982's Blade Runner a seemingly impossible task. Against all odds and logic, the movie pulls it off.

The Good: The greatest thing about the sequel is simply the story. Without delving into spoiler territory Blade Runner 2049 concludes with an ending that works with an internal logical sense and yet still surprises. There are so many good decisions throughout this production one could hardly list them all.

The idea of keeping the cold war and old Iconic brands from the first movie works brilliantly and the overall look and feel of this movie are timeless. Blade Runner 2049 does not try to pigeonhole its narrative into the concerns of today. It does not wink at the fears of today's audience. It is its own self-contained universe telling a story that will work fifty years from now and would have worked just as strongly fifty years ago.

The acting is strong across the board with Harrison Ford appearing as if he actually wants to be in the film (and looking fit to boot). Also, Ana de Armas needs to be in every movie moving forward. A truly star-making turn.

The Bad: A combination of a long running time, a leisurely pace and a soundtrack from a health spa can put one in a catatonic state if one is not careful. I confess a strong ending brought me back into the film It was losing me for a while there.

In Conclusion: This movie sticks to the ribs after viewing. It seemed even better in retrospect than during the actual viewing (see leisurely pace above). Blade Runner 2049 pulls off effortlessly decisions that could seem disastrous in other films (Jared Leto). In many ways, it is better than the first film and better than it had any right to be. A triumph.";positive
easily one of the worst films ever made, that some critics fell for it, just shows how bad today's professional critics have become. no doubt all the 14 to 18 year old Nolan fan boys are going to attack all of us, that have seen through this psycho babble non sense. ultimately the worst thing about the film is that it was utterly boring, from start to finish. at no time to you feel anything for any characters, the dialogue is of such a juvenile nature he must have got a 14 year old to write it. the guy has no idea of what dreams are what takes place during them, i will not go into any philosophical or psychological discussion here as the film does not warrant them, giving there is no sense in anything that is said or done. like dark knight this will have its time in the sun and in a few years the very same people who raved about it will wonder why. as for the ending with the top still spinning telling the audience that anyway it was all still a dream, totally makes the whole exercise futile. shame that a once good film maker has gone right up his proverbial;negative
"Simply incredible. Never before have I seen a 3 hour movie that didn't seem like 3 hours. I read the Lord of the Rings very recently and I was surprised at how similar Peter Jackson's vision was to my own.

Now about the omissions and alterations. I'm not a crazed fanatic who gets worked up over every little detail. I didn't mind Arwen's inflation and I'm actually glad Tom Bombadil was scrubbed (I felt Tom Bombadil was an unnecessary addition to the book). Despite these minor changes, the screenplay stays extremely close to the book and flows very very well (and the prologue was a nice touch).

The acting was flawless. As I've read many many times in other reviews, McKellen doesn't play Gandalf, he IS Gandalf. Wood, Mortensen, Holm, Astin, everyone was fantastic. My hat's off to Sean Bean who delivers an excellent performance as Boromir, a character who's intentions are good but wrestles with the corrupting power of the Ring. Bean portrays it VERY well. Oh, and Andy Serkis does a PERFECT Gollum voice. It's EXACTLY as I imagined it myself.

The special effects were incredible, the cave troll, the balrog, Gollum, and Sauron's Eye all looked amazing. I was also very impressed by the seamless shrinking of the vertically challenged characters.

What's wrong with this movie? I have no idea... I thought everything was perfect. MY biggest gripe is having to wait an entire year to see The Two Towers!";positive
"I settled on a 5/10 for The Dark Knight. I appreciated the story structure and all the notes they hit... I just don't think they played them loudly. I don't like re-casting, and the replacement of Katie Holmes/Rachel and the original Barbara Gordon actress (yes, her too, didya notice?) is awkward and distracting. The lack of ANY blood in the film to complement the multitude of beatings and killings (to sustain a PG-13 rating) nullifies the tension that should be present in some brilliantly conceived scenarios. I didn't believe for a second that the victims of several hostage situations (mass or otherwise) would actually lose their lives, because it's blisteringly apparent from the onset that this film is a PG-13, and would never disturb its audience beyond the minimum necessary plot points.

The Joker is actually underwritten. Ledger was game and his performance solid, but honestly: Throw the makeup and stringy hair on 75% of capable actors out there, and you have the same product. I think Jack Nicholson's output is ultimately more interesting, and I think that Tim Burton's original film, although imperfect, is still the most entertaining in the pantheon.

I realize that to hardcore Batman fans, this is a wet dream having the grittiness of the graphic novels transposed to the big screen (if they say so; I say it came close), but riddle me this: If the same script was fashioned into a non-superhero flick, let's say Heat II, and had the same strong performances and production values, would the lack of Batman fan loyalty still rocket it to its current position on the IMDb Top 250?";negative
"We occasionally use IMDB to judge whether a film is worth watching at our local Odeon. Generally, that works well but a score of 8.9 for this film (currently) is hugely misleading IMHO.

This is clearly a film that polarizes audiences - those who have bought into the Marvel franchise and have watched every previous film (31 apparently) mostly love it; those (like us) who have watched a few here and there seem to be disappointed / puzzled / bored.

For a non-fan there are a couple of major issues: Too many characters and too much back story that we can't remember or never knew. The fights seemed rather perfunctory and, I know it's the fashion these days, but the shortness of each shot (a second? half a second between cuts?) makes them impossible to follow.

One positive reviewer has criticised low scorers saying it's like watching the last 2 minutes of an hour-long drama and expecting to understand it. I think that's unfair. Surely a film should make sense in and of itself - I wasn't charged less to watch this one, so surely I should be able to enjoy it on some level? For the record, we recently went to see Thor: Ragnarok and Black Panther and enjoyed them both (particularly the last one).

Which I guess brings us back to where we started... redressing the balance of that crazy 8.9 score. No, this film is NOT better than Apocalypse Now (8.5) or The Terminator (8.0) or Citizen Kane (8.4) or Taxi Driver (8.3) or Raging Bull (8.2)... that's just crazy! My honest advice: If you like Marvel, you'll probably love this; if you're not a big fan, save your money for something else.";negative
"Guardians of the Galaxy is nothing short of an amazing movie. If there's anything I can say, it's that it is the best superhero movie I have seen. Not only does it have the impressive set pieces and enough action to last you a lifetime, it has an emotional core and you actually get to care about each and every single character. Overall this movie is filled with all the required thrills and spills and is a first class action movie. It also has a great mixture of comedic value and a deal of seriousness.

The film's unlikely hero is Quill (Chris Pratt), an eccentric gunfighter in the Han Solo mould who we meet stealing a metal orb coveted by the evil warlord Ronan. When he dispatches his top assassin, the green- skinned Gamora (Zoe Saldana), to recover the artifact, the pair find themselves locked up, along with the galaxy's most unlikely bounty hunters – a gun-toting raccoon (Bradley Cooper) and his sidekick (Vin Diesel) who just happens to be a walking tree. All the actors do a great job at portraying there characters, they feel real beings. You get to know about them and their struggles and you become attached to them. Every character in the movie got their time to shine, especially Rocket Raccoon who is voiced perfectly by Bradley Cooper. Everyone is pitch perfect in their roles even Batista!

For those that want specifics: effects were top notch, acting was excellent, story lines were compelling, the comedy was perfect 99.5% of the time and surprise there were a lot of one line typical superhero zingers that worked really well. What really can't be stressed enough is just how insanely fun and entertaining Guardians of the Galaxy is for literally its entire two-hour-plus run-time. I still have a hard time wrestling with who was my favorite actor in this. all in all, the film is brilliantly well done, action scenes are engrossing and genuinely done, you genuinely worry about certain characters and I for one was thrilled with it. Go see this.";positive
"This Mad Max is supremely surreal/Dali, absolutely fascinating even. This one, like the first 3 films, we get to suspend disbelief as the movie projects, thrusting us into the post-apocalyptic world, with anthropological and sociological elements we could believe it. Don't get me wrong, this movie is the best of the series, the unforgivable. Mad Max and The Road Warrior were convincing in it's tribalism, brutality and uncompromising violence I'm sure is true is burned into my survivalist memory. I'm not a hater, but massive dune buggies, rock playing mutants and an oxygen breathing madman? No way. Miller, you messed up bad. What happened to Max, a ""shell of a man"" who hasn't quite lost his humanity, only long forgotten and buried it. In this way this movie pisses me off, in the same way ""The Phantom Menace"" did. And yet, 9 out of 10. MILLER, you'r awesome!!!";negative
"OK- don't get me wrong this was a groundbreaking movie. However I have some serious problems with it.

First the good. The action scenes and special effects are awesome. They really did set new standards and knocked that hackneyed load of tripe The Phantom menace into the bin. The ending is also fantastic- there is no way that an ending this perfect was meant to be followed by two mediocre sequels

However, The plot is more full of holes than a fishnet stocking. For instance- I know this is nit picking- but how can Cypher be betraying the crew when not only do they have to plug him into the matrix for him to go and meet the agents in the first instance, but are also monitoring said conversation.

Secondly- the philosophical parts. The matrix basically asks the question is it better to live the dream. The flaw comes in that in this case it is quite clearly better- great, so mankind is not ""free"" but each person lives a sufficiently realistic existence inside their own head for it not to matter. If the alternative is living in fear and squalor, dodging sentinels whilst eating what looks like congealed semen then I would frankly rather live inside my own dreams dining on fine food etc.

Next up, the acting. Could someone please explain to me how Keanu Reeves is a leading man. He single handedly trashes all the good work put in by the supporting cast- especially Laurence Fishburne and Hugo Weaving. Anyway how can I be expected to take a film seriously where Keanu is effectively god?

Overall, a reasonable film but not the second coming of Christ so many people think it is.";negative
"Despite being a huge comic book nerd I was not familiar with the Guardians before the first movie came out. I did some googling and upon learning about this sci-fi superhero team consisting of a talking raccoon and tree man I was hardly impressed.

I finally got round to watching the first film and was blown away. It had a remarkable charm that even the other Marvel titles didn't have. It was filled with great humour, memorable moments and fit into the Marvel Universe long running story perfectly.

Because of this I pumped by expectations up high for the sequel to a degree where it was almost guaranteed to fail yet somehow, someway it didn't.

Not only did it meet my expectations but it exceeded them, GotG2 is amazing.

Full of the same five star humour, being a visual treat and once again with an excellent soundtrack the film gripped me from the outset and delivered that charm all over again.

This time including several industry veterans including Kurt Russell (Who has been on great form since his return) and Sylvester Stallone they fit in well and don't detract from the franchise as I feared they might.

With cameo appearances along the way from the likes of Farscape (1999) lead Ben Browder to industry legend Seth Green as Howard the Duck this is a fun rollercoaster ride than left me positively gagging for more.

This is one of those films I feel like I could rant about (In a positive way) for a while and so I'm going to resist the urge and merely say that Guardians 2 is a contender for the best Marvel movie, contested only by the first Avengers film.

Masterpiece.

The Good:

Cast are great again

Charm returns

Excellent nostalgic soundtrack

Looks amazing

The Bad:

Only one movie with Baby Groot? Noooo!

They seem to have dropped Drax's taking everything literal jokes away

Michael Rosenbaum was wasted

Things I Learnt From This Movie:

Batista should have skipped over wrestling and just been an actor";positive
